"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14579","After applying a $60.00 - $69.99 price filter, apropriate products are displayed on the page","UI_tests","Wed Mar 12 18:15:22 GMT 2025","passed","Wed Mar 12 18:15:37 GMT 2025","menTops","menTops.spec.js","",""
"","2060","1st card: clicking card name redirects to respective product cards","UI_tests","Wed Mar 12 18:15:35 GMT 2025","passed","Wed Mar 12 18:15:37 GMT 2025","homePage.spec","homePage.spec.js","",""
"","9314","Verify the related products are displayed after applying Silicone Material filter on the Gear/Watches page","UI_tests","Wed Mar 12 18:14:52 GMT 2025","passed","Wed Mar 12 18:15:01 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","1984","Tops and Bottoms sub-categories have a counter for items from the right side of the relevant link","UI_tests","Wed Mar 12 18:15:54 GMT 2025","passed","Wed Mar 12 18:15:56 GMT 2025","menPage.spec","menPage.spec.js","",""
"","0","Verify the ""Clear All"" button after applying GENDER filters on the Gear/Watches page","UI_tests","Wed Mar 12 18:15:29 GMT 2025","skipped","Wed Mar 12 18:15:29 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","3427","exiting full screen mode clicking on the close button","UI_tests","Wed Mar 12 18:15:03 GMT 2025","passed","Wed Mar 12 18:15:06 GMT 2025","fusionBackpackPage.spec","fusionBackpackPage.spec.js","",""
"","0","Verify the ""Clear All"" button after applying SALE filters on the Gear/Watches page","UI_tests","Wed Mar 12 18:15:29 GMT 2025","skipped","Wed Mar 12 18:15:29 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","2041","Verify visibility of sections with discounted items on Sale page","UI_tests","Wed Mar 12 18:17:23 GMT 2025","passed","Wed Mar 12 18:17:25 GMT 2025","salePage.spec","salePage.spec.js","",""
"","4680","Verify that “Bags”, “Fitness equipment” and “Watches” to be placed under filter “Shop By Category” are clickable.","UI_tests","Wed Mar 12 18:15:28 GMT 2025","passed","Wed Mar 12 18:15:33 GMT 2025","gearPage.spec","gearPage.spec.js","",""
"","2724","Verify that the correct breadcrumb navigation is displayed on the ""Training"" page and leading up to this section (Home > Training)","UI_tests","Wed Mar 12 18:16:54 GMT 2025","passed","Wed Mar 12 18:16:56 GMT 2025","trainingPage.spec","trainingPage.spec.js","",""
"","13364","item is added to wishlist in left-side section after user logs in","UI_tests","Wed Mar 12 18:16:51 GMT 2025","passed","Wed Mar 12 18:17:04 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","8545","verify the ability to sort products in ascending order by price","UI_tests","Wed Mar 12 18:15:58 GMT 2025","passed","Wed Mar 12 18:16:06 GMT 2025","menTops","menTops.spec.js","",""
"","2201","Redirect to ""Gear Bags"" page","UI_tests","Wed Mar 12 18:15:06 GMT 2025","passed","Wed Mar 12 18:15:08 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","2148","Verify that the promo block is displayed on the “Training” page","UI_tests","Wed Mar 12 18:17:57 GMT 2025","passed","Wed Mar 12 18:17:59 GMT 2025","trainingPage.spec","trainingPage.spec.js","",""
"","5641","Check the name of 14 shopping styles in the Men's/Tops section.","UI_tests","Wed Mar 12 18:16:13 GMT 2025","passed","Wed Mar 12 18:16:19 GMT 2025","menTops","menTops.spec.js","",""
"","5701","User can able to select a category from the suggested list of 2 (two) options: Pants.","UI_tests","Wed Mar 12 18:16:09 GMT 2025","passed","Wed Mar 12 18:16:15 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","3756","<Header/Shopping Cart Icon> Verify a counter with the number of items in the cart is displayed after adding new product","UI_tests","Wed Mar 12 18:15:20 GMT 2025","passed","Wed Mar 12 18:15:24 GMT 2025","header.spec","header.spec.js","",""
"","2167","verify the modal windows opens on click on shopping cart icon","UI_tests","Wed Mar 12 18:15:18 GMT 2025","passed","Wed Mar 12 18:15:20 GMT 2025","header.spec","header.spec.js","",""
"","1630","Gear drop-down menu contains: Bags, Fitness equipment, Watches items","UI_tests","Wed Mar 12 18:15:24 GMT 2025","passed","Wed Mar 12 18:15:25 GMT 2025","header.spec","header.spec.js","",""
"","13422","Validate link Move to Wish List located on the Shopping Cart page","UI_tests","Wed Mar 12 18:15:00 GMT 2025","passed","Wed Mar 12 18:15:13 GMT 2025","shopping Cart","shoppingCart.spec.js","",""
"","3949","Links with category names are located on the page, clickable, and blue","UI_tests","Wed Mar 12 18:17:31 GMT 2025","passed","Wed Mar 12 18:17:35 GMT 2025","womenPage.spec","womenPage.spec.js","",""
"","6004","Verify navigating to ""Compression"" page from ""Style"" option","UI_tests","Wed Mar 12 18:14:52 GMT 2025","passed","Wed Mar 12 18:14:58 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","0","Veryfy that user name is changed","UI_tests","Wed Mar 12 18:16:06 GMT 2025","skipped","Wed Mar 12 18:16:06 GMT 2025","My Account","myAccount.spec.js","",""
"","6800","verify the user can select Pants subcategory from the dropdown","UI_tests","Wed Mar 12 18:15:09 GMT 2025","passed","Wed Mar 12 18:15:16 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","6334","User can able to select a category from the suggested list of 2 (two) options: Shorts","UI_tests","Wed Mar 12 18:16:14 GMT 2025","passed","Wed Mar 12 18:16:20 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","4567","Verify that user can't register with password that starts and ends with spaces","UI_tests","Wed Mar 12 18:14:40 GMT 2025","passed","Wed Mar 12 18:14:45 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","2237","Verify that Suede from material options list is visible and has right name","UI_tests","Wed Mar 12 18:15:18 GMT 2025","passed","Wed Mar 12 18:15:20 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","6563","Verify navigating to ""Basic"" page from ""Style"" option","UI_tests","Wed Mar 12 18:14:46 GMT 2025","passed","Wed Mar 12 18:14:52 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","28239","Verify that user can buy multiple items","UI_tests","Wed Mar 12 18:16:11 GMT 2025","passed","Wed Mar 12 18:16:39 GMT 2025","Batch shopping flow validation","testsPOM_advanced/shop/buy-multi-items.spec.js","",""
"","2049","Verify visibility of footer","UI_tests","Wed Mar 12 18:14:40 GMT 2025","passed","Wed Mar 12 18:14:42 GMT 2025","footer.spec","footer.spec.js","",""
"","2194","Verify How We Use The Information We Collect header on the right side of the page matches navigation menu item","UI_tests","Wed Mar 12 18:16:30 GMT 2025","passed","Wed Mar 12 18:16:32 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","2512","Verify changing quantity of product in card section 'Hot seller'","UI_tests","Wed Mar 12 18:14:54 GMT 2025","passed","Wed Mar 12 18:14:57 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2567","2nd card: clicking card reviews redirects to ""reviews"" tab on respective product card","UI_tests","Wed Mar 12 18:15:39 GMT 2025","passed","Wed Mar 12 18:15:42 GMT 2025","homePage.spec","homePage.spec.js","",""
"","14946","After applying a $30.00 - $39.99 price filter, apropriate products are displayed on the page","UI_tests","Wed Mar 12 18:15:03 GMT 2025","passed","Wed Mar 12 18:15:18 GMT 2025","menTops","menTops.spec.js","",""
"","5787","Verify that the number of products displayed matches the count for the ""Basic"" category","UI_tests","Wed Mar 12 18:15:43 GMT 2025","passed","Wed Mar 12 18:15:49 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","6764","Verify navigating to ""Snug"" page from ""Style"" option","UI_tests","Wed Mar 12 18:15:05 GMT 2025","passed","Wed Mar 12 18:15:11 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","5078","verify that the quantity of available items is visible","UI_tests","Wed Mar 12 18:15:21 GMT 2025","passed","Wed Mar 12 18:15:26 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","2379","Verify Luma Security header on the right side of the page matches navigation menu item","UI_tests","Wed Mar 12 18:16:23 GMT 2025","passed","Wed Mar 12 18:16:26 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","14175","After applying a $50.00 - $59.99 price filter, apropriate products are displayed on the page","UI_tests","Wed Mar 12 18:15:18 GMT 2025","passed","Wed Mar 12 18:15:32 GMT 2025","menTops","menTops.spec.js","",""
"","4972","verify message displayed in Wish List Section for Empty Wish List","UI_tests","Wed Mar 12 18:16:29 GMT 2025","passed","Wed Mar 12 18:16:34 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","1","Verify the count for each subCategory on Tops page is the same as count of items on each specific page","UI_tests","Wed Mar 12 18:15:51 GMT 2025","skipped","Wed Mar 12 18:15:51 GMT 2025","menTops","menTops.spec.js","",""
"","2234","Verify List of cookies we collect header on the right side of the page matches navigation menu item","UI_tests","Wed Mar 12 18:16:42 GMT 2025","passed","Wed Mar 12 18:16:45 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","2349","verify navigation path to the fitness equipment page","UI_tests","Wed Mar 12 18:15:24 GMT 2025","passed","Wed Mar 12 18:15:27 GMT 2025","gearFitnessPage.spec","gearFitnessPage.spec.js","",""
